english_source|lambani_target|lambani_predicted|kannada_sentence
the market is closed on thursday|ಮಾರ್ಕೆಟ್ ಗುರುವಾರೇರ ಬಂದ್ ರಚ.|ಮಾರ್ಕೆಟ್ ಬುಕ್ ಕಿದೋಚ.|ಗುರುವಾರ ಮಾರುಕಟ್ಟೆ ಮುಚ್ಚಲಾಗಿದೆ
no other person entered the room|ಖೋಲಿಮ ಕೊಯಿ ಜಾಯೇನಿ ಲ|ಖೋಲಿಮ ಅಜಿ ಏಕ್ ಮಾಣಸ ವೆತ್ತೋ ಕೋನಿ.|ಮತ್ತೆ ಯಾರೂ ಕೋಣೆಯನ್ನು ಪ್ರವೇಶಿಸಲಿಲ್ಲ
who searches finds .|ಕುಣ ಧುನ್ದಚ ವೊನ್ ಮಳಚ.|ಕುಣ ಧೂನ್ದಚ?|ಯಾರು ಹುಡುಕುತ್ತಾರೆ ,ಅವರು ಕಂಡುಕೊಳ್ಳುತ್ತಾರೆ  .
this is done seven times .|ಏನ್ ಸಾತ್ ಅಪ್ತಿ ಕರ್ಚ.|ಈ ಸಾತ್ ಸಲಾ ಕರಮಲೆಚ.|ಇದು ಏಳು ಬಾರಿ ಮಾಡಲಾಗುತ್ತದೆ .
they are sensible girls .|ವೊ ಸಮಜದಾರ್ ಛೋರೀನೋ ಚ.|ವೊ ಲಡಾಯಿ ಮಾರರೇಚ.|ಅವರು ಸಂವೇದನಾಶೀಲ ಹುಡುಗಿಯರು .
it rained heavily yesterday|ಕಾಲೇನ ಭಾರಿ ಪಾಣಿ ಪಡೊ|ಕಾಲ್ ಗಣ್ಣ್ ಪಾನಿ ಪಡೋಚ್|ನಿನ್ನೆ ಭಾರಿ ಮಳೆಯಾಯಿತು
this is a very cold place|ಈ ಜಾಗಾ ಘಣ ಥಂಡಾ ಚ.|ಈ ಘಣ ಶಿ ಚ|ಇದು ತುಂಬಾ ತಂಪಾದ ಸ್ಥಳವಾಗಿದೆ
samu is not arguing|ಸಮು ಬಹಸ್ ಕರರೊಕೊಂತಿ.|ಸಮು ವಾತೆ ಕರರೊಕೊಂತಿ.|ಸಮು ವಾದಿಸುತ್ತಿಲ್ಲ
the man lost all hope .|ಮಾಣಸ ಸೆ ಭರೋಸಾ ಗಮಾಲಿದೊಚ.|ಮಾಣಸ್ ಸಾರಿ ಭರೋಸಾ ದರಗಿಚ|ಮನುಷ್ಯನು ಎಲ್ಲಾ ಭರವಸೆಯನ್ನು ಕಳೆದುಕೊಂಡನು .
i do not go to school|ಮ ಸಾಲಿನ ಜಾವುನಿ|ಮ ಸಾಲಿನ್ ಜಾರೊಕೊಂತಿ.|ನಾನು ಶಾಲೆಗೆ ಹೋಗುವುದಿಲ್ಲ
please sit in that chair .|ಕೃಪಯಾ ಖುರ್ಚಿ ಪರ್ ಬೆಸ.|ಕೃಪಯಾ ವು ಖುರ್ಚಿ ಮ ಬೆಸೊ.|ದಯವಿಟ್ಟು ಆ ಕುರ್ಚಿಯಲ್ಲಿ ಕುಳಿತುಕೊಳ್ಳಿ .
he is speaking too fast .|ವು ಘಣ್ ಜಲ್ದಿ ಜಲ್ದಿ ವಾತೆ ಕರ್ರೋಚ.|ವು ಘಣ್ ಜಲ್ದಿ ವಾತೆ ಕರಚ.|ಅವನು ತುಂಬಾ ವೇಗವಾಗಿ ಮಾತನಾಡುತ್ತಿದ್ದಾನೆ .
people are more productive .|ಲೋಗ ಜಾಸ್ತ ಉತ್ಪಾದಕ ಚ.|ಲೋಗ ಜಾಸ್ತ ಫಳ ತಿ ರಚ.|ಜನರು ಹೆಚ್ಚು ಉತ್ಪಾದಕರಾಗಿದ್ದಾರೆ .
where is your son studying ?|ತಮಾರ್ ಬೇಟಾ ಕತ್ ಸಾಲಿ ಸಿಕರೋಚ?|ತಾರ ಬೇಟಾ ಕತ್ ವೊದರೋಚ?|ನಿಮ್ಮ ಮಗ ಎಲ್ಲಿ ಓದುತ್ತಿದ್ದಾನೆ ?
what is today 's date ?|ಆಜ ಕತ್ರಿ ತಾರಿಕ್ ಚ?|ಆಜ್ ಕುಣಸೊ ದಾಡೊ ಛ?|ಇವತ್ತಿನ ದಿನಾಂಕ ಏನು ?
ten minutes has already passed .|ದಸ್ ನಿಮಿಷ ಖುಟಗೆಚ.|ದಸ್ ನಿಮಿಷನ್ ದರಗಿ.|ಹತ್ತು ನಿಮಿಷಗಳು ಈಗಾಗಲೇ ಕಳೆದಿವೆ .
i love that red flower|ಮನ್ ವು ರಾತಡೋ ಫೂಲ ಪಸಂದ್ ಚ.|ಮನ ವು ರಾತಡೊ ಫೂಲ ಪಸಂದ್ ಚ.|ನಾನು ಆ ಕೆಂಪು ಹೂವನ್ನು ಪ್ರೀತಿಸುತ್ತೇನೆ
he hit me and ran away|ವು ಮನ ಮಾರನ ಭಡಕಗೊ|ವು ಮನ್ ಮಾರನ್ ಧಾಸಗೊ|ಅವನು ನನ್ನನ್ನು ಹೊಡೆದು ಓಡಿಹೋದನು
all the lights were off .|ಸೇಜ ದಿವೊ ವಲಾಗೇತೆ.|ಸೇಜ್ ದಿವೊ ವಲಾವೋ.|ಎಲ್ಲಾ ದೀಪಗಳು ಆರಿ ಹೊಗಿದ್ದವು .
you owe me something .|ತಾರ್ ಮಾ ಪರ್ ಕಾಂಯಿಕ ಋಣಾ ಚ|ತು ಮನ್ ಕಾಂಯಿಕ ದೋಚೋ|ನೀವು ನನಗೆ ಏನಾದರೂ ಋಣಿಯಾಗಿರುತ್ತೀರಿ .
i can not understand you .|ಮನ್ ತೋನ್ ಸಮಜೆರ್ ವೆರಿಕೋನಿ.|ಮನ್ ತೋನ್ ಸಮಜೆರ್ ವೆರಿಕೊಂತಿ.|ನಾನು ನಿನ್ನನ್ನು ಅರ್ಥಮಾಡಿಕೊಳ್ಳಲು ಆಗುತ್ತಿಲ್ಲ .
only few came to the gathering|ದಸೆಕಜ ಮಾಣಸ ಭಳೆ|ಬರೆ ದಸೆಕ್ ಮಾಣಸ ಆಯೆ.|ಕೆಲವರು ಮಾತ್ರ ಒಟ್ಟುಗೂಡಲು ಬಂದರು
salt is used in cooking|ನೂಣೆನ ಖಾಣೋ ಕರೇನ ಬಳಸಚ|ಘಣೋ ನುಣ ಭೇಳೆನ ಉಪಯೋಗ ಕರಚ|ಉಪ್ಪನ್ನು ಅಡುಗೆಯಲ್ಲಿ ಬಳಸಲಾಗುತ್ತದೆ
the boy fell into the well|ಛೋರಾ ವಾವ್ಡಿಮಾಯೀ ಪಡಗೋಚ|ಛೋರಾ ವಾವಡಿಮ ಗೆ|ಹುಡುಗ ಬಾವಿಗೆ ಬಿದ್ದ
i respect you very much .|ಮ ತೊನ್ ಘಣ ಮರ್ಯಾದಿ ಕರುಚು.|ಮ ತಾರ್ ಘಣ್ ಗೌರವ್ ಚು.|ನಾನು ನಿನ್ನನ್ನು ತುಂಬಾ ಗೌರವಿಸುತ್ತೇನೆ .
that 's what friends are for|ದೋಸ್ತ್ ನೋ ವೊರ್ ಸಾರುಜ್ ರಚ್|ವೊಜ ದೋಸ್ತ.|ಗೆಳೆಯರಿರುವುದು ಅದಕ್ಕಾಗಿಯೇ
not a sound was heard .|ಏಕ ಆವಾಜ್ ಬಿ ಸಾಮಳಾಯಿ ಕೋನಿ.|ಎಕ್ಕಿ ಆವಾಜ್ ಸಾಮಳಾಯಿ ಕೋನಿ.|ಸದ್ದು ಕೇಳಲಿಲ್ಲ .
i talked to friends .|ಮ ದೊಸ್ತೇನುತಿ ವಾತೆ ಕಿದೋ.|ಮ ದೊಸ್ತೇಟಿ ವಾತೆ ಕಿದೋ.|ನಾನು ಸ್ನೇಹಿತರೊಂದಿಗೆ ಮಾತನಾಡಿದೆ .
he is angry with me|ವು ಮಾಪರ ರಿಸ ಕರಮಲೋಚ.|ವು ಮಾರ ಜೋಡಿ ರಿಸ್ ಕರ್ಮಲೋಚ.|ಅವನು ನನ್ನ ಮೇಲೆ ಕೋಪಗೊಂಡಿದ್ದಾನೆ
are you happy with this ?|ಯೇತಿ ತಮೆನ್ ಆನಂದ್ ವೇಮಲಿಚ್ ಕಾಯಿ?|ತೊನ್ ಈ ಖುಷಿ ತಿ ರೆಚಿ ಕ?|ಇದರಿಂದ ನಿಮಗೆ ಸಂತೋಷವಾಗಿದೆಯೇ ?
i am not tired .|ಮನ್ ಧೇರ್ ಹುಯಿ ಕೊಂತಿ.|ಮನ್ ಸುಸ್ತ್ ಛೆನಿ.|ನನಗೆ ಸುಸ್ತಾಗಿಲ್ಲ .
she does walk to school .|ವು ಸಾಲಿನ ಚಾಲನ ಜಾವಚ.|ವು ಸಾಲಿನ್ ಜಾರಿಚ.|ಅವಳು ಶಾಲೆಗೆ ನಡೆದುಕೊಂಡು ಹೋಗುತ್ತಾಳೆ .
what are you looking for ?|ತು ಕಾಂಯಿ ಧುನ್ದರೋಚಿ.|ತಮ್ಮ್ ಕಾಯಿ ದುಂಡರೇಚೂ|ನೀವು ಏನು ಹುಡುಕುತ್ತಿದ್ದೀರಿ ?
do not push too hard|ಮನ್ ಜೋರೇತಿ ಧಕಲ್ ಮತ|ಘಣ ಮೆಹನತೆ ಮತ|ತುಂಬಾ ಜೋರಾಗಿ ತಳ್ಳಬೇಡಿ
good day to start working .|ಕಾಮ್ ಚಾಲು ಕರೆನ್ ಆಚೊ ದಾಡೋಚ.|ಕಾಮ್ ಕರೆರ್ ಚಾಲು ಕಿದೋ|ಕೆಲಸವನ್ನು ಪ್ರಾರಂಭಿಸಲು ಉತ್ತಮ ದಿನ .
they are very weak .|ಓ ಘನ ಅಶಕ್ತ ಛ.|ಓ ಘನ ಹೂಲಸ್ ಛ.|ಅವರು ತುಂಬಾ ದುರ್ಬಲರಾಗಿದ್ದಾರೆ .
dont go to hundred doctors .|ಸೊ ಡಾಕ್ಟರೇನೂರ ಕನ ಮತ ಜಾವೋ|ಸೊ ಡಾಕ್ಟರೇನ್ ಗೆ ಮತ್.|ನೂರು ವೈದ್ಯರ ಬಳಿ ಹೋಗಬೇಡಿ .
stars are uncountable .|ತಾರಾನುನ್ ಮೊಜೆರ್ ವೇನಿ.|ತಾರಾ ನೋ ಅವಿಶ್ವಾಸ್ ಚ.|ನಕ್ಷತ್ರಗಳು ಎಣಿಸಲಾಗದವು .
do you have a tv ?|ತಮಾರ ಕನ ಟಿವಿ ಛ ಕ?|ತಾರ್ ಕನ್ ಟಿವಿ ಛ ಕ?|ನಿಮ್ಮ ಬಳಿ ಟಿವಿ ಇದೆಯೇ ?
are they on the bus ?|ವೊ ಬಸ್ಸೇಮ್ ಛ ಕ?|ವೊ ಬಸ್ಸೆಮ್ ಚ ಕ?|ಅವರು ಬಸ್ಸಿನಲ್ಲಿದ್ದಾರೆಯೇ ?
do you believe in god ?|ತು ದೇವೆನ್ ನಂಬೆಚಿ?|ತು ದೇವೆರ್ ಪರ್ ಭರೋಸಾ ಕರೆಚಿ?|ನೀವು ದೇವರನ್ನು ನಂಬುತ್ತೀರಾ ?
i drink water every morning .|ಮ ದಾಡ್ಡಿ ಪರ್ಬಾತಿ ಪಾಣಿ ಪಿವುಂಚು.|ಮ ದಾಡ್ಡಿ ಪರ್ಬಾತಿ ಪಾಣಿ ಪಿವುಂಚು.|ನಾನು ಪ್ರತಿದಿನ ಬೆಳಿಗ್ಗೆ ನೀರು ಕುಡಿಯುತ್ತೇನೆ .
is he reading a book ?|ಉ ಪುಸ್ತಕ್ ಓದ್ ರೋಚ್ ಕಾಯಿ?|ವು ಏಕ್ ಪುಸ್ತಕ್ ವೋದರೊಚ್ ಕ?|ಅವನು ಪುಸ್ತಕ ಓದುತ್ತಿದ್ದಾನಾ ?
please tell her ramu called .|ಕೃಪಯಾ ವೊನ ರಾಮು ಬಲಾಯೆಚ ಕೋ.|ಕೃಪಯಾ ವೊನ ಬಲಾವೊ.|ಅವಳಿಗೆ ಹೇಳಿ ರಾಮು ಕರೆದ .
she is working for a month .|ವು ಏಕ್ ಮೀನಾತಿ ಕಾಮ್ ಕರ್ರಿಚ.|ವು ಏಕ್ ಮೀನಾ ಕಾಮ್ ಕರ್ರಿಚ.|ಅವಳು ಒಂದು ತಿಂಗಳಿನಿಂದ ಕೆಲಸ ಮಾಡುತ್ತಿದ್ದಾಳೆ .
muttug or three leaves|ಮುಟ್ಟುಗ ನಿತರ ತೀನ ಪಾಲೊ|ಮೊಂಟೆರ ತೀನ ಪಾತಿಕ ಫಾಲೋ ಚಂದ ಕರಚ|ಮುಟ್ಟುಗ್ ಅಥವಾ ಮೂರು ಎಲೆಗಳು
the clouds hid the sun|ಮಾಡ್ ಸೂರ್ಯ ನ ಬುರ ಮೆಲೋಚ|ಕಾಳೋ ಕಿಟ್ಟ ಮಾಡ್ ಮೇಲೋಚ|ಮೋಡಗಳು ಸೂರ್ಯನನ್ನು ಮರೆಮಾಡಿದವು
teach me how you do it .|ತು ವೊನ್ ಕು ಕರೆಚಿ ಕೆನ್ ಮನ್ ಸಿಕಾ.|ತು ಮನ್ ಕು ಕರೆಚಿ?|ನೀವು ಅದನ್ನು ಹೇಗೆ ಮಾಡುತ್ತೀರಿ ಎಂದು ನನಗೆ ಕಲಿಸಿ .
she has written her essay .|ವು ವೋರ ಪ್ರಭಂದ ಲಕ್ಕಿಚ.|ವು ವೊರ್ ಪ್ರಬಂಧ ಲಕ್ಲಿದಿಚ.|ಅವಳು ತನ್ನ ಪ್ರಬಂಧವನ್ನು ಬರೆದಿದ್ದಾಳೆ .
good luck for upcoming exam .|ಆಂಗ್ ಆರೇ ಜಕೋಣ ಪರೀಕ್ಷಾ ಠೀಕ ವೇದ.|ಪರೀಕ್ಷೆ ಠೀಕ್ ವೇದ.|ಮುಂಬರುವ ಪರೀಕ್ಷೆಗೆ ಶುಭವಾಗಲಿ .
i spend my time doing nothing .|ಮ ಕಾಂಯಿ ಬಗರ್ ಕರೆರ್ ಸಮಯ್ ಬಿತಾವುಂಚು.|ಮ ಮಾರ್ ಸಮಯ್ ಕಾಂಯಿ ಬಿತಾಯೆನಿ.|ನಾನು ಏನನ್ನೂ ಮಾಡದೆ ನನ್ನ ಸಮಯವನ್ನು ಕಳೆಯುತ್ತೇನೆ .
they find the weather cold today .|ವುನುನ್ ಆಜ ಹವಾಮಾನ ಥಂಡಾ ಲಾಗಚ|ಓ ಆಜ್ ಹವಾಮಾನ ಶಿಳೊ ಲಾಗಚ|ಅವರು ಇಂದು ತಂಪಾದ ವಾತಾವರಣವನ್ನು ಕಂಡುಕೊಳ್ಳುತ್ತಾರೆ .
i am afraid i cannot .|ಮನ್ ಕರ್ತಾಯೆನಿ ಕೆನ್ ಚಮಕಣಿ ಲಾಗಚ.|ಮನ್ ಚಮಕಣಿ ಛೆನಿ.|ನನಗೆ ಸಾಧ್ಯವಿಲ್ಲ ಎಂದು ನಾನು ಹೆದರುತ್ತೇನೆ .
they consider them as their wealth .|ವೊ ವೊನ ವೂನೂರ್ ಧನ್ ಸಮ್ಜಚ|ವೊ ವೂನುನ ವೂನೂರ ಪೀಸಾ ಕಚ|ಅವರು ತಮ್ಮ ಸಂಪತ್ತು ಎಂದು ಪರಿಗಣಿಸುತ್ತಾರೆ .
they wanted to get him married .|ವೊ ವೋರ ವಾಯಾ ಕರಾ ಕೆರೆತೆ|ವೊ ವೊನ ವಾಯಾ ಕರೆರ ಚಾವರೇಚ|ಅವರು ಅವನನ್ನು ಮದುವೆಯಾಗಲು ಬಯಸಿದ್ದರು .
it was wet and windy|ವು ಭೀನ ಅನ ವಾಳ ವೇತ್ತಿ.|ವೊಸ ಅನ ಶಿ ವೆತ್ತೋ.|ಇದು ತೇವ ಮತ್ತು ಗಾಳಿಯಾಗಿತ್ತು
i 'll have to work overtime|ಮ ಓವರ್ ಟೈಮ್ ಕಾಮ್ ಕರನು|ಮ ಘಣ್ ಸಮಯ್ ಪರ್ ಕಾಮ್ ಕರನು.|ನಾನು ಅಧಿಕಾವಧಿ ಕೆಲಸ ಮಾಡಬೇಕು
they gave one hundred rupees to all|ವೊ ಸೇನಜ ಸೊ ರಪಿಯಾ ದಿನೇ|ವೊ ಸೇನಜ ಏಕ ಸೊ ರಪಿಯಾ ದಿನೋ|ಅವರು ಎಲ್ಲರಿಗೂ ನೂರು ರೂಪಾಯಿಗಳನ್ನು ನೀಡಿದರು
samu likes to eat rice|ಸಮು ನ ಚಾವಳ್ ಖಾಯೇನ ಪಸಂದ್ ಚ.|ಸಮು ನ ಚಾವಳ್ ಖಾಯೇನ ಪಸಂದ್ ಚ.|ಸಾಮು ಅನ್ನ ತಿನ್ನಲು ಇಷ್ಟಪಡುತ್ತದೆ
he is tall and strong .|ಉ ಲಾಂಬೋ ಛ ಅನ್ ಶಕ್ತಿ ವಾನ್ ಛ.|ವು ಲಾಂಬೋ ಅನ ಮಜಬೂತ್ ಚ.|ಅವನು ಎತ್ತರ ಮತ್ತು ಬಲಶಾಲಿ .
i eat three times a day .|ಮ ಏಕ್ ದಾಡೆಮ್ ತೀನ್ ಸಲಾ ಖಾವುಂಚು.|ಮ ಏಕ್ ದಾಡೆಮ್ ತೀನ್ ಬಾಟಿ ಖಾವುಂಚು.|ನಾನು ದಿನಕ್ಕೆ ಮೂರು ಬಾರಿ ತಿನ್ನುತ್ತೇನೆ .
i like to eat bread .|ಮ ಬ್ರೆಡ್ ಖಾಯೆನ್ ಇಷ್ಟ ಕರುಚು.|ಮ ಬಾಟಿ ಖಾಯೆನ್ ಇಷ್ಟ ಕರುಚು.|ನಾನು ಬ್ರೆಡ್ ತಿನ್ನಲು ಇಷ್ಟಪಡುತ್ತೇನೆ .
i go to school by foot .|ಮ ಚಾಲನ್ ಸಾಲಿನ ಜಾಊಚು.|ಮ ಸಾಲಿನ್ ಜಾವುನ್ಚು.|ನಾನು ಕಾಲ್ನಡಿಗೆಯಲ್ಲಿ ಶಾಲೆಗೆ ಹೋಗುತ್ತೇನೆ .
you bring joy to my life .|ಮಾರ್ ಜೀವನಾ ಮ ತು ಖುಷಿ ಲಾಯೋಚಿ|ತು ಮಾರ್ ಜೀವನನ್ ಖುಷಿತಿ ಚಿ|ನೀವು ನನ್ನ ಜೀವನಕ್ಕೆ ಸಂತೋಷವನ್ನು ತರುತ್ತೀರಿ .
i do what i am told .|ಮ ಕಾಯಿ ಕ ಜಕೊಣ್ ಕರುಚು.|ಮ ಕಾಂಯಿ ಕ ಜಕೋಣ ಸೇಜ್ ಕರುಚು.|ನಾನು ಹೇಳಿದ್ದನ್ನು ಮಾಡುತ್ತೇನೆ .
come to my house at eight .|ಆಟೆನ್ ಮಾರ್ ಘರೇನ್ ಆಜೊ|ಮಾರ್ ಘರೇನ್ ಛೋ ಘಂಟಾ ನ ಆವೋ.|ಎಂಟಕ್ಕೆ ನನ್ನ ಮನೆಗೆ ಬಾ .
you may use my new car .|ತು ಮಾರ್ ನವೀನ ಕಾರ್ ಉಪಯೋಗ ಕರ್ ಸಕೇಚಿ.|ತಮ್ ಮಾರ್ ನವೀನ ಕಾರ್ ಲೇ ಸಕೋಚೊ.|ನೀವು ನನ್ನ ಹೊಸ ಕಾರನ್ನು ಬಳಸಬಹುದು .
samu is shorter than ram|ಸಮು ರಾಮೇತಿ ಗಿಡ್ಡ ಚ.|ಸಮು ತಿ ನಾಣಕ್ಯಾ ಚ.|ಸಮು ರಾಮ್‌ಗಿಂತ ಚಿಕ್ಕದಾಗಿದೆ
be his helper and guide .|ಗುಡ್ಡ ಅನ್ ಜಾಡೇರ ಮಾಯಿ|ವೋರ ಸಹಾಯಕಾರಿ ಅನ ಮಾರ್ಗದರ್ಶಿ|ಅವನ ಸಹಾಯಕ ಮತ್ತು ಮಾರ್ಗದರ್ಶಿಯಾಗಿರಿ .
she left the baby crying .|ಪಾಪುನ್ ರೋತೇನ ಛೋಡ್ ಗೀಚ.|ವು ಪಾಪು ರೋರಿತಿ|ಮಗುವನ್ನು ಅಳುತ್ತಲೇ ಬಿಟ್ಟಳು .
dont drink too much coffee|ಘಣ ಕಾಫಿ ಪಿವೊಮತ.|ಘಣ ಕಾಫಿ ಪಿ ಮತ್.|ಹೆಚ್ಚು ಕಾಫಿ ಕುಡಿಯಬೇಡಿ
they adore magicians .|ವೊ ಜಾದುಗಾರೇನೂರ ಪೂಜಾ ಕರಚ|ವೊ ಜಾದು ತಿ ಪ್ರಶಂಸಾ ಕರಚ|ಅವರು ಮಾಂತ್ರಿಕರನ್ನು ಆರಾಧಿಸುತ್ತಾರೆ .
how much did he pay you ?|ವು ತೋನ್ ಕತ್ರಾ ಪೀಸಾ ದಿನೋ?|ವು ತೋನ್ ಕತ್ರಾ ಪೀಸಾ ಭರೇಚ?|ಅವನು ನಿಮಗೆ ಎಷ್ಟು ಪಾವತಿಸಿದನು ?
i am talking to my friend .|ಮ ಮಾರ್ ದೊಸ್ತೇಟಿ ವಾತೆ ಕರರೊಚು.|ಮ ಮಾರ್ ದೊಸ್ತೇಟಿ ವಾತೆ ಕರರೊಚು.|ನಾನು ನನ್ನ ಸ್ನೇಹಿತನೊಂದಿಗೆ ಮಾತನಾಡುತ್ತಿದ್ದೇನೆ .
evening dress is desired .|ಸಾಂಜ್ ಪೇರೇನ್ ಜಿಗಲಾ ಚಾವ.|ಸಾಂಜ್ ಕಪಡಾ ಚಾವಚ.|ಸಂಜೆಯ ಉಡುಪು ಬೇಕು
the king began to think seriously .|ರಾಜಾ ಗಂಭಿರತಾ ತಿ ವಿಚಾರ ಕರೆಲಗೋ|ರಾಜಾ ಗಂಭಿರತಾ ತಿ ವಿಚಾರ ಕರೆಲಗೋ|ರಾಜ ಗಂಭೀರವಾಗಿ ಯೋಚಿಸತೊಡಗಿದ .
his room is facing the west .|ವೊರ್ ಖೋಲಿ ಪಶ್ಚಿಮೇರ್ ಸಾಂವುಚ.|ವೋರ ಖೋಲಿ ಪಶ್ಚಿತ್ ಚ.|ಅವರ ಕೋಣೆ ಪಶ್ಚಿಮಕ್ಕೆ ಎದುರಾಗಿದೆ .
it was cooked in oil .|ಏನ್ ತೇಲೆ ಮಾಯಿ ಸಿಜಾಡ್ ಮಲೆಚ್.|ವು ಕಾರೆಮ್ ಖಾಣೊ ಕರ್ಮಲೆತೇ|ಇದನ್ನು ಎಣ್ಣೆಯಲ್ಲಿ ಬೇಯಿಸಲಾಯಿತು .
has she worked here for years ?|ವು ಅತ ಘಣ್ ವರ್ಷ್ ಕಾಮ್ ಕಿದಿಚ್ ಕ?|ವು ಅತ ಕನ್ನಾತಿ ಕಾಮ್ ಕರ್ರಿಚ್ ಕ?|ಅವಳು ಇಲ್ಲಿ ವರ್ಷಗಳ ಕಾಲ ಕೆಲಸ ಮಾಡುತ್ತಿದ್ದಾಳೆ ?
they need me for that job .|ವೂ ಕಾಮೆನ್ ವುನೆನ್ ಮಜ್ ಚಾಯ್|ವೊನ್ ಕಾಮೆನ್ ಜಾಯೇನ್ ಜರೂರತ್ ಚ.|ಆ ಕೆಲಸಕ್ಕೆ ಅವರಿಗೆ ನಾನು ಬೇಕು .
meat is difficult to chew|ಬೊಟಿನ ಚಾಬೇರೋ ಕಷ್ಟಾ|ಬೊಟಿನ ಚಾರೋ ಮುಷ್ಕಿಲ್ ಚ|ಮಾಂಸವನ್ನು ಅಗಿಯುವುದು ಕಷ್ಟ
i got bored of writing letters|ಮನ್ ಪತ್ರಾ ಲಕ ಲಕನ ಬ್ಯಾಸರ ವೇಗಿಚ|ಮನ್ ಲಕ್ಕೇರ್ ಬ್ಯಾಸರ ವೇಗಿಚ.|ನನಗೆ ಪತ್ರಗಳನ್ನು ಬರೆದು ಬರೆದು ಬೇಸರವಾಗಿದೆ
i am certain of your success .|ತಾರ್ ಸಫಲತಾ ಪರ್ ಮನ್ ಯಕೀನ್ ಚ.|ತಾರ್ ಸಫಲತಾ ತಿ ಮನ್ ನಿಶ್ಚಿತ್ ಚ.|ನಿಮ್ಮ ಯಶಸ್ಸಿನ ಬಗ್ಗೆ ನನಗೆ ಖಾತ್ರಿಯಿದೆ .
i admit my mistake .|ಮಾರ್ ತಪ್ಪೆನ್ ಮ ಓಪಕೊಳುಚು.|ಮ ಮಾರ್ ಗಲತಿ ಛ ಕೆನ್ ಸ್ವೀಕಾರ್ ಕರುಚು.|ನನ್ನ ತಪ್ಪನ್ನು ಒಪ್ಪಿಕೊಳ್ಳುತ್ತೇನೆ .
had you heard of this place ?|ಏ ಜಾಗಾರ್ ಬಗ್ಗೆ ತು ಸಾಮಳ್ ಮಲೋಚಿ?|ತಮ್ ಈ ಜಾಗಾ ಸಾಮಳೋಚೊ ಕಾಯಿ?|ನೀವು ಈ ಸ್ಥಳದ ಬಗ್ಗೆ ಕೇಳಿದ್ದೀರಾ ?
the two brothers demanded their state .|ದೊಯೀ ಭಾಯಿ ವೂನೂರ ರಾಜ್ಯರ ಮಾಂಗ ಕಿದೆ|ದೊಯೀ ಭಾಯಿ ವೂನೂರ ರಾಜ್ಯರ ಮಾಂಗ ಕಿದೆ|ಇಬ್ಬರು ಸಹೋದರರು ತಮ್ಮ ರಾಜ್ಯವನ್ನು ಒತ್ತಾಯಿಸಿದರು .
can we swim in it ?|ಹಮ್ಮ ಯೇಮಾಯೀ ಪೆರ ಸಕಾಚಾ ಕ?|ಅಪಣ ವೊಮಾಯಿ ಪೆರೆಚಾ ಕ?|ನಾವು ಇದರಲ್ಲಿ ಈಜಬಹುದೇ
i want to show you something .|ಮ ತೋನ್ ಕಾಂಯಿ ತೊಯೀ ದಕಾಳೆರ್ ಚಾವರೊಚು.|ಮ ತೋನ್ ಕಾಂಯಿ ದಕಾಳೆನ್ ಚಾವರೊಚು.|ನಾನು ನಿಮಗೆ ಏನನ್ನಾದರೂ ತೋರಿಸಲು ಬಯಸುತ್ತೇನೆ .
the farmer suddenly got rich|ರೈತ ಅಚಾನಕ್ ಸಾವಕಾರ ವೇಗೋ|ರೈತ ನೋ ಜಲ್ದಿ ಸಾವಕರಚ|ರೈತ ಇದ್ದಕ್ಕಿದ್ದಂತೆ ಶ್ರೀಮಂತನಾದ
you have found your wallet .|ತೊನ್ ತಾರ್ ಬಟುವಾ ಮಳಗೊಚ|ತು ತಾರ್ ಬಟುವಾ ದಿಟೋ.|ನಿಮ್ಮ ಕೈಚೀಲವನ್ನು ನೀವು ಕಂಡುಕೊಂಡಿದ್ದೀರಿ .
i found them in the garden .|ಮ ವೊನ್ ಖೇಥೆಮ್ ಡಿಟೊ ಚು.|ಮ ವೂನುನ್ ಗಾರ್ಡೆನೇಮ ಮಳೋ.|ನಾನು ಅವರನ್ನು ತೋಟದಲ್ಲಿ ಕಂಡುಕೊಂಡೆ .
i love the way you talk .|ತು ವಾತೆ ಕರೆಚಿ ಜೋಣ ಮನ್ ಪಸಂದ್ ಚ.|ತು ವಾತೆ ಕರು ಜೋಣ ಮನ್ ಪಸಂದ್ ಚ.|ನೀನು ಮಾತನಾಡುವ ರೀತಿ ನನಗೆ ಇಷ್ಟ .
she wants to know the reality .|ವೊನ್ ಖರೊ ಕಾಂಯಿಚ್ ಕೆನ್ ಮಾಲಮ್ ವೇರ್ ಚಾವರಿಚ.|ವು ಖರಿ ಕಾಂಯಿಚ್ ಕೆನ್ ಮಾಲಮ್ ವೇರ್ ಚಾವರಿಚ.|ಅವಳು ವಾಸ್ತವವನ್ನು ತಿಳಿದುಕೊಳ್ಳಲು ಬಯಸುತ್ತಾಳೆ .
that girl is out of option .|ವು ಛೋರಿ ಅಪಣ ಆಯ್ಕೆ ಮ ಛೆನಿ.|ವು ಏ ಛೋರಿ ಪಸಂದ್ ಚ.|ಆ ಹುಡುಗಿ ಆಯ್ಕೆಯಿಂದ ಹೊರಗಿದ್ದಾಳೆ .
