lambani_source|kannada_target|kannada_predicted
ಕೃಷ್ಣಾ ವೋರ ವಾಸಳಿ ವಜಾಯೋ .|ಕೃಷ್ಣ ಅವರ ಕೊಳಲು ನುಡಿಸಿದರು .|ಕೃಷ್ಣ ತನ್ನ ಕೊಳಲು ನುಡಿಸಿದರು .
ಪರಿವಾರೇಮ ವಿವಾದ ವೆಸಕಚ .|ಕುಟುಂಬದಲ್ಲಿ ವಿವಾದಗಳು ಉಂಟಾಗಬಹುದು .|ಕುಟುಂಬದಲ್ಲಿ ವಿವಾದಗಳು ಸಂಭವಿಸಬಹುದು .
ಗಾವಡಿ ಏಕ್ ಪಿಲ್ಲಾ ಜಣಿ .|ಹಸು ಹೊಸ ಕರುವಿಗೆ ಜನ್ಮ ನೀಡಿತು .|ಹಸು ಒಂದು ಮರಿಗಳು .
ತಮಾರ್ ನಾಕೇನ್ ಫುಕಾರೊ .|ನಿಮ್ಮ ಮೂಗನ್ನು ಊದಿಕೊಳ್ಳಿ .|ನಿಮ್ಮ ನಾದನ್ನು ಉಚಿಕೊಳ್ಳಿ .
ಸ್ಯಾಮ್ ಘಣೋ ಲೋಭಿ ಛ .|ಸ್ಯಾಮ್ ತುಂಬಾ ದುರಾಸೆಯವನು .|ಸ್ಯಾಮ್ ಕೂಡ ಸಾಕಷ್ಟು ಲೋಟ .
ಯಾಡಿ ಘಣ ನಮ್ರ ಚ .|ತಾಯಿಯು ತುಂಬಾ ಸೌಮ್ಯವಾಗಿದ್ದಾಳೆ .|ತಾಯಿ ತುಂಬಾ ನಮ್ಯ .
ವೊರ್ ಬೇಟಾ ಖಾಣೊ ಕರೆವಾಳೋಚ .|ಅವರ ಮಗ ಅಡುಗೆಯವನು .|ತನ್ನ ಮಗ ಆಹಾರವನ್ನು ತಯಾರಿಸುವವನು .
ಓರ್ ಜೀಬ್ ಕತರೇಚ .|ಅವಳ ನಾಲಿಗೆಯನ್ನು ಕತ್ತರಿಸಲಾಯಿತು .|ಆಕೆಯ ಗೆಲ್ಲುತ್ತಿದೆ .
ಹಮ್ ಲಾರ್ ಕನ್ನಾಯಿಬಿ ಗಿದಗಾಯೆ ಕೊಂತಿ .|ನಾವು ಹಿಂದೆಂದೂ ಹಾಡಿಲ್ಲ .|ನಾವು ಹಿಂದೆಂದೂ ಹಾಡಲಿಲ್ಲ .
ಕಾಮ್ ಮಳೆರೋ ಅತ್ರಾ ಸರಳ್ ವೇತ್ತಿಕೋನಿ .|ಕೆಲಸ ಸಿಗುವುದು ಅಷ್ಟು ಸುಲಭವಾಗಿರಲಿಲ್ಲ .|ಕೆಲಸ ಪಡೆಯುವುದು ಅಷ್ಟು ಸುಲಭವಾಗಿರಲಿಲ್ಲ .
ಯೆತ್ತೆರ್ ಜೀವನ ಪರಿಸ್ಥಿತಿ ಕಠಿಣ್ ಛ .|ಇಲ್ಲಿನ ಜೀವನ ಪರಿಸ್ಥಿತಿ ಕಠಿಣವಾಗಿದೆ .|ಇಲ್ಲಿನ ಜೀವನ ಕಠಿಣವಾಗಿದೆ .
ತುಕಾ ಕಡ್ಮಿ ಕರೆನ್ ಉಪಯೋಗ್ ವಚ .|ತೂಕ ನಷ್ಟಕ್ಕೆ ಸಹಾಯ ಮಾಡುತ್ತದೆ .|ತೂಕ ಕಡಿಮೆ ಮಾಡಲು ಸಹಾಯ ಮಾಡುತ್ತದೆ .
ಓ ಘಣ ಪ್ರಶಸ್ತಿ ಗೆದ್ದ ಮಲೇಚ .|ಅವರು ಹಲವಾರು ಪ್ರಶಸ್ತಿಗಳನ್ನು ಗೆದ್ದಿದ್ದಾರೆ .|ಅವರು ಅನೇಕ ಪ್ರಶಸ್ತಿಗಳನ್ನು ಗೆದ್ದಿದ್ದಾರೆ .
ತಮ್ ಮನ್ ಮದಲ್ ಕಾ ಕೇಕೊಂತಿ .|ನೀವು ನನಗೆ ಮೊದಲೇ ಏಕೆ ಹೇಳಲಿಲ್ಲ ?|ನೀವು ನನ್ನನ್ನು ಮೊದಲು ಏಕೆ ಹೇಳಲಿಲ್ಲ ?
ಲೇಖಕರು ಲಕೆನ್ ಇಷ್ಟಾ ಕರಚ್ .|ಬರಹಗಾರರು ಬರೆಯಲು ಇಷ್ಟಪಡುತ್ತಾರೆ .|ಲೇಖಕರು ಬರೆಯಲು ಇಷ್ಟಪಡುತ್ತಾರೆ .
ಈ ದುಸರೇರ್ ವ್ಯವಹಾರ್ ಕಾವ .|ಇದು ಬೇರೆಯವರ ವ್ಯವಹಾರವಲ್ಲ .|ಇದು ಇತರರ ವ್ಯವಹಾರವಲ್ಲ .
ವು ವೊರ್ ಯಾಡಿರ್ ಜೋಡಿ ರಚ .|ಅವಳು ತನ್ನ ತಾಯಿಯೊಂದಿಗೆ ವಾಸಿಸುತ್ತಾಳೆ .|ಅವನು ತನ್ನ ತಾಯಿಯೊಂದಿಗೆ ವಾಸಿಸುತ್ತಾನೆ .
ಕೃಪಯಾ ಅಜಿ ವಾಪಸ್ ಕೊಚೊ ಕ ?|ದಯವಿಟ್ಟು ನೀವು ಅದನ್ನು ಪುನರಾವರ್ತಿಸಬಹುದೇ ?|ದಯವಿಟ್ಟು ಅದನ್ನು ಮತ್ತೆ ಹಿಂತಿರುಗಬಹುದೇ ?
ಜಮಿ ಚಾಂದಾ ತಿಭಿ ಮೋಟೋ ಛ .|ಭೂಮಿಯು ಚಂದ್ರನಿಗಿಂತ ದೊಡ್ಡದಾಗಿದೆ .|ಭೂಮಿಯು ಚಂದ್ರನಿಗಿಂತ ದೊಡ್ಡದಾಗಿದೆ .
ಉ ಅನ್ ಮ ಆಚೆ ದೋಸ್ತ್ ಛಾ .|ಅವನು ಮತ್ತು ನಾನು ಉತ್ತಮ ಸ್ನೇಹಿತರಾಗಿದ್ದೇವೆ .|ಅವನು ಮತ್ತು ನಾನು ಉತ್ತಮ ಸ್ನೇಹಿತರು .
ಮನ ಈ ಅಂಗಡಿ ಪಸಂದ್ ಛೆನಿ .|ನಾನು ಈ ಅಂಗಡಿಯನ್ನು ದ್ವೇಷಿಸುತ್ತೇನೆ .|ನಾನು ಈ ಅಂಗಡಿ ಇಷ್ಟಪಡುವುದಿಲ್ಲ .
ವಾಟ್ ನಂದಿರ ದಂಡಿನ ಚ .|ಮಾರ್ಗವು ನದಿಯ ಉದ್ದಕ್ಕೂ ಹೋಗುತ್ತದೆ .|ದಾರಿ ನದಿಯ ದಡವಿದೆ .
ತಮ್ ಬದ್ಲಾವಣೆ ಲಾ ಸಕೋಚೊ .|ನೀವು ಬದಲಾವಣೆಗಳನ್ನು ತರಬಹುದು .|ನೀವು ಬದಲಾವಣೆಯನ್ನು ತರಬಹುದು .
ಓರ್ ಮುಖ್ಯ ಲಕ್ಷಣ್ ಕಾ೦ಯೀ ಛ ?|ಅದರ ಮುಖ್ಯ ಲಕ್ಷಣಗಳೇನು ?|ಅದರ ಮುಖ್ಯ ಲಕ್ಷಣಗಳೇನು ?
ತಮೆನ್ ಉ ಅರ್ಥಾ ವೆರಿ ಕೊಂತಿ .|ನಿಮಗೆ ಅದು ಅರ್ಥವಾಗುತ್ತಿಲ್ಲ .|ನೀವು ಅದು ಅರ್ಥವಾಗುತ್ತಿಲ್ಲ .
ತನಿಖೆ ಚಾಲ್ರಿಚ ಕರನ್ ಓ ಕೇಚ .|ತನಿಖೆ ನಡೆಯುತ್ತಿದೆ ಎಂದು ಅವರು ಹೇಳಿದರು .|ತನಿಖೆ ನಡೆಯುತ್ತಿದೆ ಎಂದರು .
ಮ ರಾಜಕಿಯೇನ್ ಪ್ರೀತಿ ಕರುಚು .|ನಾನು ರಾಜಕೀಯವನ್ನು ಪ್ರೀತಿಸುತ್ತೇನೆ .|ನಾನು ರಾಜಕೀಯಕ್ಕೆ ಪ್ರೀತಿಸುತ್ತೇನೆ .
ವೂ ಆಜ್ ಘನ್ ತಡಾ ವೆನ್ ಆಯೇಚ .|ಅವರು ಇಂದು ತಡವಾಗಿ ಬಂದಿದ್ದಾರೆ .|ಅವರು ಇಂದು ತುಂಬಾ ತಡವಾಗಿ ಬಂದರು .
ಪರೀಕ್ಷಾ ಸಾರು ಠೀಕ್ ಓದೋ ಚು .|ಪರೀಕ್ಷೆಗೆ ಚೆನ್ನಾಗಿ ಓದಿದೆ .|ಪರೀಕ್ಷೆಗೆ ಚೆನ್ನಾಗಿ ಓದಿ .
ಓಮಾಯಿ ಜಾಸ್ತಿ ಪಾಲ್ ಖರೆ ಛ .|ಅದರಲ್ಲಿ ಬಹುಪಾಲು ನಿಜ .|ಅದರಲ್ಲಿ ಹೆಚ್ಚು ಪಾಲು ಸತ್ಯವಿದೆ .
ವು ಏಕ್ ಅದ್ಭುತ ಪ್ರತಿಭೆ ಚ .|ಅವರೊಬ್ಬ ಅದ್ಭುತ ಪ್ರತಿಭೆ .|ಅವರು ಅದ್ಭುತ ಪ್ರತಿಭೆ .
ವು ಹಮೇನ್ ಚಾವಜೋಣ ಮಾಣಸ್ ಚ .|ಅವನು ನಮಗೆ ಬೇಕಾದ ವ್ಯಕ್ತಿ .|ಅವರು ನಮಗೆ ಬೇಕಾದ ವ್ಯಕ್ತಿ .
ವು ಪರ್ಬಾತಿ ಜಲ್ದಿ ವೂಟೇನಿ .|ಅವನು ಬೇಗ ಏಳುವುದಿಲ್ಲ .|ಅವನು ಬೆಳಿಗ್ಗೆ ಬೇಗ ಏಳುವುದಿಲ್ಲ .
ಮ ಕನ್ನಾಯಿಭಿ ಕಾಮ್ ಛೋಡುನೀ .|ನಾನು ಎಂದಿಗೂ ಕೆಲಸ ಬಿಡುವುದಿಲ್ಲ .|ನಾನು ಎಂದಿಗೂ ಕೆಲಸ ಬಿಡುವುದಿಲ್ಲ .
ಅಬ್ಬೆಸಲಾ ಊಟ ಠೀಕ್ ವೇತ್ತಿ .|ಈ ಬಾರಿ ಊಟ ಚೆನ್ನಾಗಿತ್ತು .|ಈ ಬಾರಿ ಆಹಾರ ಸರಿಯಾಗಿತ್ತು .
ಅಜಿ ಆವುಚು ಕರನ್ ಭರೋಸಾ ಛ .|ಮತ್ತೆ ಬರುತ್ತೇನೆ ಎಂದು ಭರವಸೆ .|ಮತ್ತೆ ಬರುತ್ತೇನೆ ಎಂದು ಭರವಸೆ ಇದೆ .
ವೊ ಧೋಳ್ ರಂಗೇರ್ ಜಿಗಲಾ ಚ .|ಅವು ಬಿಳಿ ಬಣ್ಣದ ಉಡುಗೆ .|ಅವು ಬಿಳಿ ಬಣ್ಣದ ಅಂಗಿ .
ವುನುನ ಅಜಿ ವೊದೇನ ಆಯೆನಿ .|ಅವರು ಇನ್ನೂ ಓದಲು ಸಾಧ್ಯವಿಲ್ಲ .|ಅವರು ಇನ್ನು ಓದಲು ಬರುವುದಿಲ್ಲ .
ಆಂಗೇರ್ ವಾರ್ ಪಾಣಿ ಪಡೆವಾಳೋಚ .|ಮುಂದಿನ ವಾರ ಮಳೆಯಾಗಲಿದೆ .|ಮುಂದಿನ ವಾರ ಮಳೆಯಾಗಲಿದೆ .
ಈ ಮಾರ್ ಸ್ವಂತ್ ಅನುಭವ ಛ .|ಇದು ನನ್ನ ಸ್ವಂತ ಅನುಭವದಿಂದ .|ಇದು ನನ್ನ ಸ್ವಂತ ಅನುಭವವಾಗಿದೆ .
ಖುಷಿತಿ ರೇನ್ ಆಂಗ್ ಬಡೋ .|ಸಂತೋಷದಿಂದ ಬದುಕಲು ಮುಂದುವರಿಯಿರಿ .|ಸಂತೋಷವನ್ನು ಮುನ್ನಡೆಸು .
ತಮ್ ಮಾತಿ ಭೀ ಮಾಂದೆ ಛೋ .|ನೀವು ನನಗಿಂತ ಕೆಟ್ಟವರು .|ನೀವು ನನಗಿಂತ ಕೆಟ್ಟದ್ದು .
ದಸೆಕ್ ಪರ್ಟಿನೋ ಚಾಲರಿಚ .|ಕೆಲವು ಪಕ್ಷಗಳು ನಡೆಯುತ್ತಿವೆ .|ಕೆಲವು ಪರ್ವತಗಳು ನಡೆಯುತ್ತಿವೆ .
ಸೀಮಾ ವುನುನ ಕಾಂಯಿ ಕಿ ?|ಸೀಮಾ ಅವರಿಗೆ ಏನು ಹೇಳಿದರು ?|ಸೀಮಾ ಅವರನ್ನು ಏನು ಹೇಳಿದಳು ?
ತಮ್ ಹಳ್ಳಿನ ಜಾವೊಚೊ ಕ ?|ನೀವು ಹಳ್ಳಿಗೆ ಹೋಗುತ್ತೀರಾ ?|ನೀವು ಹಳ್ಳಿಗೆ ಹೋಗುತ್ತೀರಾ ?
ಮೊದಲ ವಾತ್ ಚಿತ್ ಕಿದೆ .|ಮೊದಲ ಮಾತುಕತೆ ನಡೆಸಲಾಯಿತು .|ಮೊದಲ ಮಾತುಕತೆಯನ್ನು ನಡೆಸಲಾಯಿತು .
ತಮ್ ಆರಾಮೇತಿ ಛೋ ಕೋನಿ ?|ನೀವು ಕ್ಷೇಮವಾಗಿದ್ದೀರಾ ?|ನೀವು ರಾಮನಿಗಿಂತ ಇದ್ದೀರಾ ?
ಪಣ ಪೀಸಾ ಪುರಾಟಿ ಕೋನಿ .|ಆದರೆ ಹಣ ಸಾಕಾಗಲಿಲ್ಲ .|ಆದರೆ ಹಣ ಸಾಕಾಗಲಿಲ್ಲ .
ಅಲೋಮ್ ಓತಿ ಬಿ ಠೀಕ್ ಛ .|ಅಲೋಮ್ ಅವನಿಗಿಂತ ಉತ್ತಮ .|ಅಲೋಮ್ ಅವನಿಂದ ಚೆನ್ನಾಗಿದೆ .
ಈ ನದಿರ್ ನಾಮ್ ಕಾ೦ಯೀ ?|ಈ ನದಿಯ ಹೆಸರೇನು ?|ಈ ನದಿಯ ಹೆಸರೇನು ?
ಓ ಏನ್ ವಿರೋಧ ಕಿದೆ ಛ .|ಅವರು ಇದನ್ನು ವಿರೋಧಿಸಿದ್ದಾರೆ .|ಅವರು ಇದನ್ನು ವಿರೋಧಿಸಿದರು .
ಸ್ಯಾಮ್ ಮಾತಿ ಚಮ್ ಕಚ .|ಸ್ಯಾಮ್ ನನಗೆ ಹೆದರುತ್ತಾನೆ .|ಸ್ಯಾಮ್ ನನ್ನಿಂದ ಹೆದರುತ್ತಾನೆ .
ಹಮ್ ಭಾರ ಘಣ ಜಾಮಾನಿ .|ನಾವು ಹೆಚ್ಚು ಹೊರಗೆ ಹೋಗುವುದಿಲ್ಲ .|ನಾವು ತುಂಬಾ ಹೊರಗೆ ಹೋಗುವುದಿಲ್ಲ .
ಹಮ್ ಏನ್ ಲಕ್ಕಣು ಕ ?|ನಾವು ಇದನ್ನು ಬರೆಯಬೇಕೇ ?|ನಾವು ಇದನ್ನು ಬರೆಯಬಹುದೇ ?
ಈ ಮೆಹನತೆರ್ ಯೋಗ್ಯ ಚ .|ಇದು ಶ್ರಮಕ್ಕೆ ಯೋಗ್ಯವಾಗಿದೆ .|ಇದು ಕಷ್ಟಪಟ್ಟು ಯೋಗ್ಯವಾಗಿದೆ .
ದೂಸರ್ ವಡಿ ಭೀ ಠೀಕ್ ಸೇಕಚ .|ಇನ್ನೊಂದು ಬದಿಯನ್ನು ಸರಿಯಾಗಿ ಬೇಯಿಸಬೇಕು .|ಇನ್ನೊಂದು ಕಡೆ ಚೆನ್ನಾಗಿ ನಡೆದುಕೊಳ್ಳುತ್ತಾರೆ .
ಅಪಣ ದಸೆಕ್ ಉದಾಹರಣೆ ದೆಖಾ .|ನಾವು ಕೆಲವು ಉದಾಹರಣೆಗಳನ್ನು ನೋಡೋಣ .|ನಾವು ಕೆಲವು ಉದಾಹರಣೆಗಳನ್ನು ನೀಡೋಣ .
ಗಾವಡಿ ಮಾನ್ಸೇನ್ ಮುಖ್ಯ ಛ .|ಹಸುಗಳು ಮನುಷ್ಯನಿಗೆ ಮುಖ್ಯವಾಗಿವೆ .|ಹಸು ಮನಸ್ಸಿಗೆ ಮುಖ್ಯವಾಗಿದೆ .
ತಮ್ ಮಾರ್ ಫೋನೇನ ಲೇಸಕೋಚೊ .|ನೀವು ನನ್ನ ಫೋನ್ ಅನ್ನು ಬಳಸಬಹುದು .|ನೀವು ನನ್ನ ಫೋಟಕ್ಕೆ ತೆಗೆದುಕೊಳ್ಳಬಹುದು .
ಕಾರೆ ಮಾಯಿ ಘಣ ಸಮಸ್ಯೆ ಛ .|ಕಾರು ಸಮಸ್ಯೆಗಳಿಂದ ಬಳಲುತ್ತಿದೆ .|ಕಾರಿನಲ್ಲಿ ಅನೇಕ ಸಮಸ್ಯೆಗಳಿವೆ .
ಈ ತಾರ ಕಾಮ ಕರೆರ ಜಾಗಾ ಚ .|ಇದು ನಿಮ್ಮ ಕೆಲಸ ಮಾಡುವ ಸ್ಥಳ .|ಇದು ನಿಮ್ಮ ಕೆಲಸವನ್ನು ಮಾಡಲು ಸ್ಥಳವಾಗಿದೆ .
ವೊ ವೂನೂರ್ ಕಾಮೇನ ಅತ ದಚ .|ಅವರು ತಮ್ಮ ಕೆಲಸವನ್ನು ಇಲ್ಲಿ ಸಲ್ಲಿಸುತ್ತಾರೆ .|ಅವರು ತಮ್ಮ ಕೆಲಸವನ್ನು ಇಲ್ಲಿ ನೀಡುತ್ತಾರೆ .
ಮನ್ ಹಳ್ಳಿಗಾಡು ಪಸಂದ್ ಚ .|ನನಗೆ ಹಳ್ಳಿಗಾಡು ಇಷ್ಟ .|ನಾನು ಹಳ್ಳಿಗೆ ನೆಂಟು ಇಷ್ಟ .
ಮ ತಾತಿ ದುರ್ ಹೂಯೋಕೊಂತಿ .|ನಾನು ನಿನ್ನಿಂದ ದೂರವಾಗಿಲ್ಲ .|ನಾನು ನಿನ್ನಿಂದ ದೂರ ಹೋಗಿಲ್ಲ .
ಮಾರ್ ಆಂಖಿ ರಾತಡ ವೇಗಿಚ್ .|ನನ್ನ ಕಣ್ಣು ಕೆಂಪಾಗಿದೆ .|ನನ್ನ ಕಣ್ಣು ಕೆಂಪು ಆಗಿದೆ .
ತಮ್ ಟೆಸ್ಟ್ ಕನ್ನಾ ಲಣು ?|ನೀವು ಯಾವಾಗ ಪರೀಕ್ಷೆಯನ್ನು ತೆಗೆದುಕೊಳ್ಳಬೇಕು ?|ನೀವು ಯಾವಾಗ ನಡೆಯಬೇಕು ?
ಮನ್ ತಮಾತಿ ಉಪಕಾರ ವೇಣು .|ನನಗೆ ನಿಮ್ಮಿಂದ ಉಪಕಾರ ಬೇಕು .|ನಾನು ನಿಮ್ಮಿಂದ ಸಹಾಯ ಮಾಡಬೇಕು .
ವು ಮನ್ ಭಳೆನ್ ಬಲಾಯೋ .|ಅವರು ನನ್ನನ್ನು ಭೇಟಿ ಮಾಡಲು ಆಹ್ವಾನಿಸಿದರು .|ಅವರು ನನ್ನನ್ನು ಭೇಟಿ ಮಾಡಲು ಕರೆದರು .
ತಮ್ ಬಾಗಲ ಬಂಡ ಕರೋಚೊ ?|ನೀವು ಬಾಗಿಲು ಮುಚ್ಚಲು ಬಯಸುತ್ತೀರಾ ?|ನೀವು ಬಾಗಿಲು ಮುಚ್ಚುತ್ತೀರಾ ?
ಮ ತಾರ್ ಫೋಟೋ ಕಾಡು ಕ ?|ನಾನು ನಿಮ್ಮ ಭಾವಚಿತ್ರ ತೆಗೆಯಬಹುದೇ ?|ನಾನು ನಿಮ್ಮ ಫೋಟೋವನ್ನು ತೆಗೆಯಬಹುದೇ ?
ರಾಮ್ ಗಿದೆ ಸಂಬಲೋಚ .|ರಾಮ್ ಸಂಗೀತವನ್ನು ಆಲಿಸಿದರು .|ರಾಮ್ ಹಾಡನ್ನು ಕೇಳಿದರು .
ಓರ್ ಟಾಂಗ್ ತುಟಮಲಿತಿ .|ಆತನ ಕಾಲು ಮುರಿದಿತ್ತು .|ಅವನ ಕಾಲು ಮುರಿದಿತ್ತು .
ಮ ಘಣ್ ಜಾಗ್ ಜಾಮಲೋಚು .|ಹಲವು ಸ್ಥಳಗಳಿಗೆ ಭೇಟಿ ನೀಡಿದ್ದೇನೆ .|ನಾನು ಅನೇಕ ಸ್ಥಳಗಳನ್ನು ಹೋಗಿದ್ದೇನೆ .
ಶೋ ಕತ್ರಾನ ಚಾಲು ವಚ ?|ಕಾರ್ಯಕ್ರಮ ಎಷ್ಟು ಗಂಟೆಗೆ ಪ್ರಾರಂಭವಾಗುತ್ತದೆ ?|ಎಷ್ಟು ಸಮಯ ಪ್ರಾರಂಭವಾಗುತ್ತದೆ ?
ಪಣ ಉ ಖರೆ ರಿಕತೋ ಕು .|ಮತ್ತು ಅದು ನಿಜವಾಗಿದ್ದರೆ ಏನು ?|ಆದರೆ ಅದು ನಿಜವಾಗಿದ್ದರೆ ?
ಅತ್ತೇತಿ ಉತರ್ ಮತ್ .|ಇಲ್ಲಿಂದ ಇಳಿಯಬೇಡ .|ಇಲ್ಲಿಂದ ಇಳಿಯಬೇಡಿ .
ಲಾಖೋ ಬೆಘರ್ ವೇಗೆ .|ಲಕ್ಷ ಮಂದಿ ನಿರಾಶ್ರಿತರಾದರು .|ಲಾಖ್ ಮನೆ ಬೆಳೆಸಿಕೊಂಡರು .
ನಾಯಕ್ ಓಭಿ ಈಜ ಕಚ .|ನಾಯಕರೂ ಇದನ್ನೇ ಹೇಳುತ್ತಾರೆ .|ನಾಯಕರೂ ಅದೇ ಹೇಳುತ್ತಾರೆ .
ತಮ್ ಟ್ಯೂನ್ ಕರನು .|ನೀವು ಟ್ಯೂನ್ ಮಾಡಬೇಕು .|ನೀವು ಟ್ಯೂನ್ ಮಾಡಬೇಕು .
ಕಮಲಗಡೆನ ಜಾಮಾ .|ಕಮಲಗಡಕ್ಕೆ ಹೋಗೋಣ .|ಕಮಲಗಾಕ್ ಹೋಗೋಣ .
ಏರ್ ಬಗ್ಗೆ ತಮಾರ್ ಯೋಚನೆ ಕಾಂಯಿ ಚ ?|ಇದರ ಬಗ್ಗೆ ನಿಮ್ಮ ಯೋಜನೆ ಏನು ?|ಇದರ ಬಗ್ಗೆ ನಿಮ್ಮ ಅಭಿಪ್ರಾಯವೇನು ?
ಓರ್ ವಿರುದ್ಧ ಕುಣಶಿ ಕಾನೂನು ಛೆನಿ .|ಅದರ ವಿರುದ್ಧ ಯಾವುದೇ ಕಾನೂನು ಇಲ್ಲ .|ಅದರ ವಿರುದ್ಧ ಯಾವುದೇ ಕಾನೂನು ಇಲ್ಲ .
ವೊ ವೊರ್ ಬಗ್ಗೆ ಚಿಂತ್ಯಾ ಕರೆನಿ .|ಅವರು ಅದರ ಬಗ್ಗೆ ಚಿಂತಿಸುವುದಿಲ್ಲ .|ಅವರು ಅದರ ಬಗ್ಗೆ ಚಿಂತಿಸುವುದಿಲ್ಲ .
ಛೋರಾ ಘರೇನ್ ಜಾಯೆನ್ ಇಷ್ಟಾಕರಚ್ .|ಹುಡುಗ ಮನೆಗೆ ಹೋಗಲು ಬಯಸುತ್ತಾನೆ .|ಹುಡುಗ ಮನೆಗೆ ಹೋಗಲು ಬಯಸುತ್ತಾನೆ .
ಕೃಪಯಾ ಅಜಿ ಸಾವಕಾಶ್ ವಾತೆ ಕರೋ .|ದಯವಿಟ್ಟು ಹೆಚ್ಚು ನಿಧಾನವಾಗಿ ಮಾತನಾಡಿ .|ದಯವಿಟ್ಟು ಹೆಚ್ಚು ನಿಧಾನವಾಗಿ ಮಾತನಾಡಿ .
ಮಾರ್ ಬಗ್ಗೆ ಕಾಯಿ ತೊಯೀ ಪುಚ್ .|ನನ್ನ ಬಗ್ಗೆ ಏನಾದರೂ ಕೇಳು .|ನನ್ನ ಬಗ್ಗೆ ಏನಾದರೂ ಕೇಳಬಹುದು .
ಮನ್ ಏ ಗಾಮೇತಿ ಬ್ಯಾಸರ ವೇಗಿಚ .|ನಾನು ಈ ನಗರದಿಂದ ಬೇಸತ್ತಿದ್ದೇನೆ .|ನನಗೆ ಈ ಗ್ರಾಮದಿಂದ ಬೇಸರವಾಗಿದೆ .
ತೊ ಕೃಪಯಾ ತಾರ್ ಆರೋಗ್ಯರ ಕಾಳಜಿ ಕರ .|ಆದ್ದರಿಂದ ದಯವಿಟ್ಟು ನಿಮ್ಮ ಆರೋಗ್ಯವನ್ನು ನೋಡಿಕೊಳ್ಳಿ .|ಆದ್ದರಿಂದ ದಯವಿಟ್ಟು ನಿಮ್ಮ ಆರೋಗ್ಯದ ಬಗ್ಗೆ ಕಾಳಜಿ ವಹಿಸಿ .
ಛಿಜ್ಯಪರೆನ್ ಕನ್ನಾವನಾ ಜಡ್ದ್ ಆವಚ .|ಮಕ್ಕಳು ಆಗಾಗ್ಗೆ ರೋಗಗಳಿಗೆ ತುತ್ತಾಗುತ್ತಾರೆ .|ಮಕ್ಕಳಿಗೆ ಯಾವಾಗಲೂ ಅನಾರೋಗ್ಯಕ್ಕೆ ಒಳಗಾಗುತ್ತದೆ .
ವೋರ ಬಗ್ಗೆ ಘಣ ಜಾನಪದ ಸಾಕಿನೊ ಕಚ .|ಅವನ ಬಗ್ಗೆ ಅನೇಕ ಜಾನಪದ ಕಥೆಗಳನ್ನು ಹೇಳಲಾಗುತ್ತದೆ .|ಅದರ ಬಗ್ಗೆ ಸಾಕಷ್ಟು ಜಾನಪದ ಕಥೆಗಳು ಎನ್ನುತ್ತವೆ .
ಮ ಓರ್ ವಾತೇ ಕನ್ನಾವನಾ ಸಾಮಳುಚು .|ನಾನು ಅವನ ಮಾತನ್ನು ನಿಯಮಿತವಾಗಿ ಕೇಳುತ್ತಿದ್ದೇನೆ .|ನಾನು ಅವನ ಮಾತನ್ನು ಕೇಳುತ್ತೇನೆ .
ವು ವೊನ್ ಕಾಯಿ ಚಾವ ಜಕೋಣ ಕೊ ಕ ?|ಅವನಿಗೆ ಏನು ಬೇಕು ಎಂದು ಅವನು ಹೇಳಿದನಾ .|ಅವಳು ಅವನಿಗೆ ಏನು ಬೇಕೇ ?
ಓನ್ ನಂಬಣು ಕರನ್ ಮನ್ ಮಾಲಮ ಛ .|ಅವನು ನಂಬಲರ್ಹ ಎಂದು ನನಗೆ ತಿಳಿದಿದೆ .|ಅದನ್ನು ನಂಬಬೇಕೆಂದು ನನಗೆ ತಿಳಿದಿದೆ .
ಮನ್ ಶಾಂತಿತಿ ರೇರ್ ಪಸಂದ್ ಚ .|ನಾನು ಶಾಂತಿಯುತವಾಗಿ ಬದುಕಲು ಇಷ್ಟಪಡುತ್ತೇನೆ .|ನಾನು ಶಾಂತಿಯಿಂದ ಬದುಕಲು ಇಷ್ಟಪಡುತ್ತೇನೆ .
ವು ಎಕ್ಲೊ ಚ ಕೇನ ಲೋಗ ನಂಬಚ .|ಅವನು ಒಬ್ಬಂಟಿ ಎಂದು ಜನರು ನಂಬುತ್ತಾರೆ .|ಅವರು ಒಬ್ಬನೇ ಎಂದು ನಂಬುತ್ತಾರೆ .
ಈ ತಮೆನ್ ಶಾಂತ್ ಕರೆನ್ ಮದತ್ ಕರಚ್ .|ಇದು ನಿಮ್ಮನ್ನು ಶಾಂತಗೊಳಿಸಲು ಸಹಾಯ ಮಾಡುತ್ತದೆ .|ಇದು ನಿಮಗೆ ಶಾಂತವಾಗಿರಲು ಸಹಾಯ ಮಾಡುತ್ತದೆ .
ಓ ಶಕ್ತಿಶಾಲಿನಾಯಿ ಲಡಾಯಿ ಕಿದೆಚ್ .|ಅವರು ವೀರರಂತೆ ಹೋರಾಡಿದರು .|ಅವರು ಶಕ್ತಿಯುತವಾಗಿ ಹೋರಾಡಿದರು .
ಟೈಮ್ ಪಾಸ್ ಕರೆರೋ ಟೈಮ್ ಗಮಾವ ಜು .|ಸಮಯ ಕಳೆದುಹೋದ ಸಮಯ ಕಳೆದುಹೋಗಿದೆ .|ಸಮಯ ಉತ್ತೀರ್ಣನಾಗಿರುವುದು ಸಮಯ .
