kannada_source|lambani_target|lambani_predicted
ಅವರು ಬಡ ಜನರನ್ನು ಬೆಂಬಲಿಸುತ್ತಾರೆ .|ವೊ ಗರೀಬ್ ಲೊಕುನ ಬೆಂಬಲ ದಚ .|ವೊ ಗರೀಬ್ ಲೋಗುನ ಬೆಂಬಲ ದಚ .
ಇದು ನಿಮಗೆ ಬೇಕಾದ ಪುಸ್ತಕವಾಗಿರುತ್ತದೆ .|ಈ ತೋನ ಚಾವಜೋಣ ಪುಸ್ತಕ್ ರಚ .|ಈ ತಮೆನ್ ಚಾವ ಜಕೋಣಿ ಪುಸ್ತಕ್ ವಚ್ .
ಅವರ ಮಗ ಅಡುಗೆಯವನು .|ವೊರ್ ಬೇಟಾ ಖಾಣೊ ಕರೆವಾಳೋಚ .|ವೋರ ಬೇಟಾ ಅಡಗಿ ಕರೆವಾಳೋ ಚ .
ಇನ್ನೊಂದು ಬದಿಯನ್ನು ಸರಿಯಾಗಿ ಬೇಯಿಸಬೇಕು .|ದೂಸರ್ ವಡಿ ಭೀ ಠೀಕ್ ಸೇಕಚ .|ಅಜಿ ಏಕ್ ವಡಿ ಠೀಕ್ ಸಿಜಾಡನು .
ನಾವು ಕೆಲವು ಉದಾಹರಣೆಗಳನ್ನು ನೋಡೋಣ .|ಅಪಣ ದಸೆಕ್ ಉದಾಹರಣೆ ದೆಖಾ .|ಆವೋ ದಸೆಕ್ ಉದಾಹರಣೆ ದೇಕಾ .
ಹಸುಗಳು ಮನುಷ್ಯನಿಗೆ ಮುಖ್ಯವಾಗಿವೆ .|ಗಾವಡಿ ಮಾನ್ಸೇನ್ ಮುಖ್ಯ ಛ .|ಗಾವಡಿನೋ ಮಾಣಸೇರ ಮುಖ್ಯ ಚ .
ನೀವು ನನ್ನ ಫೋನ್ ಅನ್ನು ಬಳಸಬಹುದು .|ತಮ್ ಮಾರ್ ಫೋನೇನ ಲೇಸಕೋಚೊ .|ತು ಮಾರ್ ಫೋನ್ ಉಪಯೋಗ್ ಕರ್ ಸಕೇಚಿ .
ಕಾರು ಸಮಸ್ಯೆಗಳಿಂದ ಬಳಲುತ್ತಿದೆ .|ಕಾರೆ ಮಾಯಿ ಘಣ ಸಮಸ್ಯೆ ಛ .|ಕಾರ್ ಸಮಸ್ಯೆ ವಳಾತಿ ತಡಪರಿಚ .
ಇದು ನಿಮ್ಮ ಕೆಲಸ ಮಾಡುವ ಸ್ಥಳ .|ಈ ತಾರ ಕಾಮ ಕರೆರ ಜಾಗಾ ಚ .|ಈ ತಾರ್ ಕಾಮ್ ಕರೆರ್ ಜಾಗಾ ಚ .
ಅವರು ತಮ್ಮ ಕೆಲಸವನ್ನು ಇಲ್ಲಿ ಸಲ್ಲಿಸುತ್ತಾರೆ .|ವೊ ವೂನೂರ್ ಕಾಮೇನ ಅತ ದಚ .|ಓ ವನೂರ್ ಕಾಮ್ ಎತ್ತ್ ದಚ್ .
ನನಗೆ ಹಳ್ಳಿಗಾಡು ಇಷ್ಟ .|ಮನ್ ಹಳ್ಳಿಗಾಡು ಪಸಂದ್ ಚ .|ಮನ್ ವು ಹಳ್ಳಿ ಪಸಂದ್ ಚ .
ನಾನು ನಿನ್ನಿಂದ ದೂರವಾಗಿಲ್ಲ .|ಮ ತಾತಿ ದುರ್ ಹೂಯೋಕೊಂತಿ .|ಮ ತಾತಿ ದುರ್ ಛೆನಿ .
ನನ್ನ ಕಣ್ಣು ಕೆಂಪಾಗಿದೆ .|ಮಾರ್ ಆಂಖಿ ರಾತಡ ವೇಗಿಚ್ .|ಮಾರ್ ಆಂಖಿ ರಾತಡೊ ಚ .
ನೀವು ಯಾವಾಗ ಪರೀಕ್ಷೆಯನ್ನು ತೆಗೆದುಕೊಳ್ಳಬೇಕು ?|ತಮ್ ಟೆಸ್ಟ್ ಕನ್ನಾ ಲಣು ?|ತು ಪರೀಕ್ಷೆ ಕನ್ನಾ ಲೇಣು ?
ನನಗೆ ನಿಮ್ಮಿಂದ ಉಪಕಾರ ಬೇಕು .|ಮನ್ ತಮಾತಿ ಉಪಕಾರ ವೇಣು .|ಮನ್ ತಮಾತಿ ಉಪಕಾರ ಚಾವ .
ನೀವು ನಿಯಮವನ್ನು ಮುರಿದಿದ್ದೀರಿ .|ತು ನಿಯಮ ತೊಡೋ .|ತು ನಿಯಮ ತೊಡೋ ಚಿ .
ನೀವು ಬಾಗಿಲು ಮುಚ್ಚಲು ಬಯಸುತ್ತೀರಾ ?|ತಮ್ ಬಾಗಲ ಬಂಡ ಕರೋಚೊ ?|ತು ಬಾಗಲ್ ಬಂದ್ ಕರೆರ್ ಚಾವರೊಚಿ ಕ ?
ನಾನು ನಿಮ್ಮ ಭಾವಚಿತ್ರ ತೆಗೆಯಬಹುದೇ ?|ಮ ತಾರ್ ಫೋಟೋ ಕಾಡು ಕ ?|ಮ ತಾರ್ ಫೋಟೋ ಕಾಡು ಕ ?
ಇದು ಶ್ರಮಕ್ಕೆ ಯೋಗ್ಯವಾಗಿದೆ .|ಈ ಮೆಹನತೆರ್ ಯೋಗ್ಯ ಚ .|ಇ ಏಕ್ ಮೆಹನತೆತಿ ಚ .
ಆತನ ಕಾಲು ಮುರಿದಿತ್ತು .|ಓರ್ ಟಾಂಗ್ ತುಟಮಲಿತಿ .|ವೊರ್ ಟಾಂಗ್ ತುಟಮಲಿತಿ .
ಹಲವು ಸ್ಥಳಗಳಿಗೆ ಭೇಟಿ ನೀಡಿದ್ದೇನೆ .|ಮ ಘಣ್ ಜಾಗ್ ಜಾಮಲೋಚು .|ಮ ಘಣ ಜಾಗಾನೂನ ಜಾನ ಆಮಲೊಚು .
ಕಾರ್ಯಕ್ರಮ ಎಷ್ಟು ಗಂಟೆಗೆ ಪ್ರಾರಂಭವಾಗುತ್ತದೆ ?|ಶೋ ಕತ್ರಾನ ಚಾಲು ವಚ ?|ಕಾರ್ಯಕ್ರಮ ಕತ್ರಾನ ಚಾಲು ವಚ ?
ಮತ್ತು ಅದು ನಿಜವಾಗಿದ್ದರೆ ಏನು ?|ಪಣ ಉ ಖರೆ ರಿಕತೋ ಕು .|ಅನ ಈ ಖರೆ ರೇ ಕತೋ ಕಾಂಯಿ ?
ಇಲ್ಲಿಂದ ಇಳಿಯಬೇಡ .|ಅತ್ತೇತಿ ಉತರ್ ಮತ್ .|ಅತೇತಿ ಉತರಮತ್ .
ಲಕ್ಷ ಮಂದಿ ನಿರಾಶ್ರಿತರಾದರು .|ಲಾಖೋ ಬೆಘರ್ ವೇಗೆ .|ಲಾಖ್ ಮಾಣಸ್ ಶ್ರ್ರಿತ ವೇ .
ನಾಯಕರೂ ಇದನ್ನೇ ಹೇಳುತ್ತಾರೆ .|ನಾಯಕ್ ಓಭಿ ಈಜ ಕಚ .|ನಾಯಕ್ ಭೀ ಈಜ ಕಚ್ .
ನೀವು ಟ್ಯೂನ್ ಮಾಡಬೇಕು .|ತಮ್ ಟ್ಯೂನ್ ಕರನು .|ತಮ್ ಟ್ಯೂನ್ ಕರನು .
ಕಮಲಗಡಕ್ಕೆ ಹೋಗೋಣ .|ಕಮಲಗಡೆನ ಜಾಮಾ .|ಡಾವಳಿ ವಡಿ ಜಾಮಾ .
ದೇವರು ಪ್ರಾರ್ಥನೆಗಳಿಗೆ ಉತ್ತರಿಸುತ್ತಾನೆ .|ಭಗವಾನ್ ಪ್ರಾರ್ಥನೆನ್ ಉತ್ತರಾ ದಚ .|ಭಗವಾನ್ ಪ್ರಾರ್ಥನೆರ ಉತ್ತರ ದಚ .
ಎಲ್ಲಾ ಪುರುಷರು ಬೇಗನೆ ಕೆಲಸಕ್ಕೆ ಹೋಗಬೇಕು .|ಸೆ ಮಾಟಿನೊ ಜಲ್ದಿ ಕಾಮೆನ್ ಜಾಣು .|ಸೆ ಮಾಟಿನೊ ಜಲ್ದಿ ಕಾಮೇನ ಜಾಣು .
ನೀವು ಮನೆಗೆ ಹೋಗಲು ಸ್ವತಂತ್ರರು .|ತು ಘರೇನ್ ಜಾಯೇನ್ ಸ್ವತಂತ್ರ ಚಿ .|ತು ಘರೇನ್ ಜಾಯೇನ್ ಸ್ವತಂತ್ರ ಚಿ .
ಒಳ್ಳೆಯ ಗುಣಗಳನ್ನು ಬೆಳೆಸಿಕೊಳ್ಳಬೇಕು .|ಆಚೆ ಗುಣಾ ರೇಣು .|ಆಚೆ ಗುಣಾ ಲೇಣು .
ಈ ಮಗು ತುಂಬಾ ಹಠಮಾರಿ .|ಈ ಪಾಪು ಘಣ ಹಠ ಕೋರಿಛ .|ಪಾಪು ಘಣ್ ಹರಾರತಿ ಚ .
ಈ ಯೋಜನೆ ದುಬಾರಿ ಎನಿಸುತ್ತಿದೆ .|ಈ ಯೋಜನೆ ಮೂಂಗ್ ಛ ಕರನ್ ದಕಾರಿಚ್ .|ಈ ಯೋಜನೆ ಮುಂಗೋ ವೇಮಲೋಚ .
ಮಂಜು ತಿಳಿಯಾಗಲು ಪ್ರಾರಂಭಿಸಿದೆ .|ವೋಸ ಕಮ್ಮ ವೇನ ಚಾಲು ವೇಗೋ .|ವೋಸ ಕೆಯೇನ ಚಾಲು ಕಿದೋ .
ಸಮು ನೀಲಿ ಬಣ್ಣವನ್ನು ಇಷ್ಟಪಡುತ್ತದೆ .|ಸಮು ನ ನೀಲಿ ರಂಗ ಪಸಂದ್ ಚ .|ಸಮು ನೀಲಿ ರಂಗ್ ಪಸಂದ್ ಚ .
ನಾನು ಕೈಚೀಲವನ್ನು ಹುಡುಕುತ್ತಿದ್ದೇನೆ .|ಮ ಏಕ್ ಪೊಡ್ಯಾ ಧುನ್ದರೋಚು .|ಮ ಏಕ್ ಬಟುವಾ ಧುನ್ಡರೊಚು .
ಅವರು ಮಾಂತ್ರಿಕರನ್ನು ಆರಾಧಿಸುತ್ತಾರೆ .|ವೊ ಜಾದುಗಾರೇನೂರ ಪೂಜಾ ಕರಚ .|ವೊ ಮಾಂತ್ರಿಕೆನುನ ಆರಾಧನೆ ಕರಚ .
ರೂಪಾಯಿ ಭಾರತದ ಕರೆನ್ಸಿ .|ರೂಪಾಯಿ ಭಾರತೇರ್ ಕರೆನ್ಸಿ ಛ .|ರಪ್ಯಾ ಭಾರತೇರ್ ಸನ್ಸಿ .
ಅವನನ್ನು ಅವನ ಅಮ್ಮ ನಿಂದಿಸಿದರು .|ಉ ಛೋರಾನ್ ಓರ್ ಯಾಡಿ ಭಾಂಡಿಚ .|ಓನ್ ಓರ್ ಯಾಡಿ ತೊನ ಘಾಲೇಚ .
ನಾನು ಅಲ್ಲಿ ನಿಮ್ಮ ಕೀಗಳನ್ನು ಕಂಡುಕೊಂಡೆ .|ಮ ತಾರ್ ಚಾವಿನುನ್ ವತ್ ದಿಟೋ .|ಮನ್ ವತ್ ತಾರ್ ಕೀಲಿ ದಿಚು .
ಯಾರಾದರೂ ಸಾಯುವದು ದುಃಖಕರ .|ಕೊಯಿಕ್ ಮರ್ಮಲೆತೋ ದುಃಖ್ ವಚ್ .|ಕೋಇತೊಯೀ ಮರೇರ್ ದುಃಖ ಛ .
ನನಗೆ ತುಂಬಾ ಬಾಯಾರಿಕೆಯಾಗಿತ್ತು .|ಮನ್ ಪಾಣಿ ಘಣ ತರಸ್ ಲಾಗ್ರೀತಿ .|ಮನ್ ಘಣ್ ಪಾಣಿ ತರಸ ಲಾಗಿ .
ನಾನು ಮೂರು ಗಂಟೆಗಳ ಕಾಲ ಕಾಯುತ್ತಿದ್ದೇನೆ .|ಮ ತೀನ್ ತಾಸೇರ್ ವಾಟ್ ದೇಕರೊಚು .|ಮ ತೀನ್ ತಾಸ್ ವಾಟ್ ದೇಕರೊಚು .
ನಾನು ನಗರದ ಆಸ್ಪತ್ರೆಯ ಹತ್ತಿರ ವಾಸಿಸುತ್ತಿದ್ದೇನೆ .|ಮ ಸಿಟಿರ ದವಾಖಾನಿರ್ ಕನ್ನ ರುಚು .|ಮ ನಗರೇರ್ ದವಾಖಾನಿನ ರುಚು .
ಈ ಎರಡೂ ಪತ್ರಿಕೆಗಳನ್ನು ಒಮ್ಮೆ ನೋಡಿ .|ಇ ದೊಯೀ ಪೇಪರೇನ್ ಏಕ್ ವಣಾ ದೇಕೋ .|ಈ ದೋಇ ಪತ್ರಿಕೆನ್ ಏಕ್ ವಣಾ ದೇಕೋ .
ಬದುಕಿರುವ ಶ್ರೇಷ್ಠ ಕವಿ ಯಾರು ?|ಸೆತ್ತಿ ಮಹಾನ್ ಜೀವಂತ ಕವಿ ಕುಣ ಚ ?|ಜೀವಂತ ಛ ಜಕೋಣಿ ಶ್ರೇಷ್ಠ ಕುಣ ಛ .
ನೀವು ಯಾವಾಗ ಹಿಂತಿರುಗುತ್ತಿದ್ದೀರೀ ?|ತಮ್ ಕನ್ನಾ ವಾಪಸ್ ಆರೇಚೂ .|ತು ಕನ್ನ ವಾಪಸ್ ಜಾರೋಚಿ ಕ ?
ಇದು ನಿಮ್ಮನ್ನು ಶಾಂತಗೊಳಿಸಲು ಸಹಾಯ ಮಾಡುತ್ತದೆ .|ಈ ತಮೆನ್ ಶಾಂತ್ ಕರೆನ್ ಮದತ್ ಕರಚ್ .|ಈ ತಮೆನ್ ಶಾಂತ್ ಕರೆನ್ ಮದತ್ ಕರಚ .
ಅವರು ವೀರರಂತೆ ಹೋರಾಡಿದರು .|ಓ ಶಕ್ತಿಶಾಲಿನಾಯಿ ಲಡಾಯಿ ಕಿದೆಚ್ .|ಓ ವೀರ ನಾಯಿ ಹೋರಾಟ ಕಿದೆಚ್ .
ಸಮಯ ಕಳೆದುಹೋದ ಸಮಯ ಕಳೆದುಹೋಗಿದೆ .|ಟೈಮ್ ಪಾಸ್ ಕರೆರೋ ಟೈಮ್ ಗಮಾವ ಜು .|ಟೈಮ್ ಗಮಾಗಿಚ್ .
ಕೆಲವೆಡೆ ವಿದ್ಯುತ್ ಇಲ್ಲ .|ಏಕ್ ಏಕ್ ಜಾಗಾಪರ್ ಕರೆಂಟ್ ಛೆನಿ .|ಏಕ್ ಏಕ್ ವಡಿ ಕರೆಂಟ್ ಛೆನಿ .
ಗುರುವಾರ ಮಾರುಕಟ್ಟೆ ಮುಚ್ಚಲಾಗಿದೆ .|ಮಾರ್ಕೆಟ್ ಗುರುವಾರೇರ ಬಂದ್ ರಚ .|ಗುರುವಾರೆರ್ ಮಾರ್ಕೆಟ್ ಬುರ್ನಾಕೇಚ .
ನನಗೆ ಕಥೆಯ ಅರ್ಥ ಕಾಣಿಸುತ್ತಿಲ್ಲ .|ಮನ್ ಸಾಖಿರ್ ಅರ್ಥ ದಕಾರಿಕೊಂತಿ .|ಮನ್ ಸಾಕಿರ ಅರ್ಥಾ ದಿಕಾರೊಕೊಂತಿ .
ಐವತ್ತು ವರ್ಷಗಳಲ್ಲಿ ಇದೇ ಮೊದಲ ಬಾರಿ .|ಪಚಾಸ್ ವರಸ್ ಮಾಯಿ ಈ ಮದಲ್ ಸಲಾ .|ಪಚಾಸ್ ವರಸೆಮಾಯಿ ಈ ಮದಲ್ ಛ .
ನಾನು ಈ ನಗರದಿಂದ ಬೇಸತ್ತಿದ್ದೇನೆ .|ಮನ್ ಏ ಗಾಮೇತಿ ಬ್ಯಾಸರ ವೇಗಿಚ .|ಮನ್ ಎ ನಗರೇತಿ ಬ್ಯಾಸರ ವೇಗಿಚ .
ಮುಂಗಡಕ್ಕೆ ಆದೇಶ ನೀಡಲಾಯಿತು .|ಆಂಗ್ ಬಡಾಯೆರ್ ಆದೇಶ ದಿನೇತೆ .|ಮುಂಗಾಗೇನ ಆದೇಶ ದಿನೆ .
ರಾಮನು ಹರಿಯಿಗಿಂತ ವೇಗವಾಗಿ ಓಡುತ್ತಾನೆ .|ರಾಮ್ ಹರಿತಿಭಿ ಜೋರ್ ಧಾಸಚ್ .|ರಾಮ ಧಾಸಚ ಜೇತಿ ಜೋರ ಧಾಸಚ .
ನಿಮ್ಮ ಕೊನೆಯ ಕೆಲಸವು ಪೂರ್ಣಗೊಳ್ಳುತ್ತದೆ .|ತಮಾರ ಅಂತಿಮ ಕಾಮ್ ಪೂರಾ ವಚ .|ತಾರ ಆಖರಿ ಕಾಮ್ ಪೂರಾ ವಚ .
ಮೊಲಗಳು ಸುಂದರವಾದ ಪ್ರಾಣಿಗಳಾಗಿವೆ .|ಸಸ್ಯಾ ಘಣ ಛಂದ್ ಪ್ರಾಣಿ ಛ .|ಸಸ್ಯಾರ ಏಕ್ ಛಂದ ಜಾನ್ವರ್ ಚ .
ಮಳೆ ಬಂದರೆ ಒದ್ದೆಯಾಗುತ್ತೇವೆ .|ಪಾಣಿ ಪಡೋಕತೋ ಭಿನ್ಜಾಮಾಚಾ .|ಪಾಣಿ ಪಡೋಕತೋ ಭಿನ್ನ್ ವೇಮಾಚಾ .
ನೀವು ಎಷ್ಟು ಗಂಟೆಗೆ ಹೊಲಗಳಿಗೆ ಹೋಗುತ್ತೀರಿ ?|ತು ಖೇತೇನ ಕತ್ರಾನ ಜಾಯೆಚಿ ?|ತು ಕತ್ರಾನ ಖೇತೇನ್ ಜಾಯೆಚಿ ?
ನಾನು ಸ್ಥಳದಿಂದ ಹೊರಡಲು ಹೊರಟಿದ್ದೆ .|ಮ ಈ ಜಾಗಾ ಛೋಡನ್ ಜಾರೋತೋ .|ಮ ಜಾಗೆತಿ ಗೆತೊ .
ನಾನು ನಿನ್ನ ಬಗ್ಗೆ ಹುಚ್ಚನಾಗಿದ್ದೇನೆ .|ಮ ತಾರ್ ವಾಸ್ ವೆಂಡೋ ಚು .|ಮ ತಾರ್ ವಾಸ್ ವೆಂಡೋ ಚು .
ಈ ಬಗ್ಗೆ ತೀವ್ರ ಚರ್ಚೆ ನಡೆಯುತ್ತಿದೆ .|ಏರ್ ಬಗ್ಗೆ ಘಣ ಮೋಟೋ ಚರ್ಚಾ ಚಾಲ್ರಿಚ್ .|ಏರ್ ಬಗ್ಗೆ ಘಣ ಚರ್ಚೆ ಚಾಲ್ರಿಚ .
ಎಲ್ಲಿಗೆ ಹೋದರೂ ಕೇಳುವುದು ಒಂದೇ ಕಥೆ .|ಕತ್ತಿಭಿ ಜಾವತೊಭಿ ಸಾಮಳೆರೋ ಎಕ್ಕಜ ಸಾಖಿ .|ಕತ್ತ್ ಗೆತೊಭಿ ಸಾಖಿ ಏಕ್ ಸಾಖಿ .
ಆದರೆ ಇದು ನಮಗೆ ದೊಡ್ಡ ನಷ್ಟವಾಗಿತ್ತು .|ಪಣ ಇ ಅಪಣೆನ ಏಕ್ ಮೋಟೋ ಲೂಕ್ಸಾಣ ವೇತ್ತೋ ಕ ?|ಪಣ ಈ ಹಮೆನ್ ಮೋಟೋ ನೂಕ್ಸಾನ್ ವೇತ್ತಿ .
ಕುರಿಮರಿ ಕರಿ ತಯಾರಿಸಲಾಯಿತು .|ಮಿಂಡಿರ ಪಿಲ್ಲಾರ ನಂಗಾಣ ತೈಯಾರ್ ವೇಗೋ .|ಮಿಂಡಿರ ಪಿಲ್ಲಾ ತೈಯಾರ ಕಿದೆ .
ನೀವು ಅದನ್ನು ಎಲ್ಲೆಡೆ ಖರೀದಿಸಬಹುದು .|ತಮ್ ಓನ್ ಕತ್ತಿಭಿ ಖರೀದಿ ಕರ್ಸ್ಕೊಚೊ .|ತಮ್ ಓನ್ ಸೆವಡಿ ಖರೀದಿ ಕರೋ .
ನಿಮ್ಮ ಕೆಲಸವನ್ನು ತುಂಬಾ ಹತ್ತಿರದಿಂದ ಕೂಡಿಸಬೇಡಿ .|ತಮಾರ್ ಸೆ ಕಾಮ್ ಏಕ್ ಜಾಗ್ ಭೇಳೋಮತ್ .|ತಮಾರ್ ಕಾಮ್ ಘಣ್ ಕನ್ನೆತಿ ಭಳೋಮತ್ .
ಮಳೆ ಬಂದಾಗ ನಾನು ನೃತ್ಯ ಮಾಡಲು ಇಷ್ಟಪಡುತ್ತೇನೆ .|ಪಾಣಿ ಪಡ ಜನಾ ಮನ್ ನಾಚೆರೋ ಪಸಂದ್ ಚ .|ಪಾಣಿ ಪಡೋಜನಾ ಮನ್ ನಾಚೆರ್ ಪಸಂದ್ ಚ .
ಭವಿಷ್ಯದಲ್ಲಿ ನೀವು ಏನು ಮಾಡಲು ಬಯಸುತ್ತೀರಿ ?|ತು ಭವಿಷ್ಯೇ ಮ ಕಾಂಯಿ ಕರು ಕೆರೋಚಿ ?|ತು ಭವಿಷ್ಯ ಮ ಕಾಂಯಿ ಕರೆರ್ ಚಾವರೊಚಿ ?
ಯಾವುದೇ ಸಾವುಗಳು ವರದಿಯಾಗಿಲ್ಲ .|ಎಕ್ಕಿ ಮರಗೆಜೆರ್ ಸೂಚನಾ ಮಳಿಕೊಂತಿ .|ಮರ್ಗೆ ಜೆರ್ ಬಗ್ಗೆ ಎಕ್ಕಿ ವರದಿ ಛೆನಿ .
ನಾವು ಕೆಲವೊಮ್ಮೆ ಕೆರೆಯಲ್ಲಿ ಈಜುತ್ತವೆ .|ಹಮ್ ಏಕ ಏಕ್ ವಣಾ ತಳಾವೇಮ ಪೆರಾಚಾ .|ಹಮ್ ಏಕ್ ಸಲಾ ಕಿಳಾವೇಮ ಪೆರಚ .
ನ್ಯಾಯಾಲಯದ ತೀರ್ಪನ್ನು ಕೇಳುತ್ತಿದ್ದೆ .|ಮ ಕೋರ್ಟೇರ್ ತೀರ್ಪು ಸಾಮಳರೋತೋ .|ನ್ಯಾಯಾಲಯೆರ್ ತಿರ್ಪ್ ಪುಚ್ರೀತಿ .
ಅವರು ದಯೆಯ ಹೃದಯವನ್ನು ಹೊಂದಿದ್ದಾರೆ .|ವೊರ್ ಹೃದಯ ದಯಾಳು ಚ .|ವೊರ್ ದಯೇರ್ ಮನಸ್ ಚ .
ನಾನು ಪಕ್ಷಿಯನ್ನು ಸೆಳೆಯಲು ಸಾಧ್ಯವಿಲ್ಲ .|ಮನ್ ಪಕ್ಷಿ ಮಾರ್ ಸಾಂವು ಆವ ಜಿಂವು ಕರೆರ ವೇನಿ .|ಮನ್ ಪಕ್ಷಿನ್ ಸೆಮೇನ್ ಸಾಧ್ಯ ಛೆನೀ .
ಕೆಲವೊಮ್ಮೆ ಅವನು ವಿಚಿತ್ರ ವ್ಯಕ್ತಿಯಾಗಿರಬಹುದು .|ಏಕ್ ಏಕ್ ಸಲಾ ವು ಏಕ್ ವಿಚಿತ್ರ ಮಾಣಸ್ ಅನಸಾವಚ .|ಎಕೇಕ್ ವಣಾ ಉ ವಿಚಿತ್ರ ವೆಸಕಚ .
ಅವರ ಕೆಲಸವನ್ನು ಅವನಿಂದ ವಿವರಿಸಲಾಗಿದೆ .|ಓರ್ ಕಾಮ್ ವನೂರ್ ಪಾಕ್ತಿ ವಿವರಣೆ ದೇಮಲೇಚ .|ವನೂರ್ ಕಾಮ್ ಓತಿ ಸಮ್ಜಾಮಲೆಚ್ .
ಸೇಬುಗಳು ಅನೇಕ ಆರೋಗ್ಯ ಪ್ರಯೋಜನಗಳನ್ನು ಹೊಂದಿವೆ .|ಸೇಬು ಹಣ್ಣಮಾಯಿ ಘಣ ಉಪಯೋಗ ಛ ಶರೀರೇನ್ .|ಸೇಬು ಘಣ ಆರೋಗ್ಯ ಉಪಯೋಗ್ ರಚ .
ಮೋಟಾರ್ ಸರಿಯಾಗಿ ಕೆಲಸ ಮಾಡುತ್ತಿಲ್ಲ .|ಮೋಟಾರ್ ಠೀಕ್ ಕಾಮ್ ಕರ್ರಿ ಕೊಂತಿ .|ಮೋಟಾರ್ ಠೀಕ್ ಕಾಮ್ ಕರರೊಕೊಂತಿ .
ಅದೊಂದು ಖಾಲಿ ಪಾತ್ರೆಯಾಗಿತ್ತು .|ಉ ಏಕ್ ಥಳ್ ಬಂಡೆ ಸಾಮಾನ್ ವೇತ್ತಿ .|ಉ ಏಕ್ ಠಾಲ ಪಾತ್ರ ವೇತ್ತಿ .
ಓ! ಕೃಷ್ಣ ಕುಡಿಯಲು ಹಾಲು ಕುಡಿಯಲು ಹಾಲು .|ಹೇ! ಕೃಷ್ಣಾ ದೂದ್ ಪಿ ದೂದ್ ಪಿ .|ಹೇ! ಕೃಷ್ಣಾ ಪಿಯೆನ್ ದೂದ ಪಿಯೆನ್ ದೂದ .
ಅವರು ಚಿತ್ರಕಲೆಯಲ್ಲಿ ನಿರತರಾಗಿದ್ದರು .|ಓ ಚಿತ್ರಕಲೆಮಾಯಿ ಮಗ್ನ ವೆತ್ತೆ .|ವು ಪಿಚ್ಚರೇರ್ ಕಲಾಮ್ ವೇತ್ತೋ .
ನನ್ನ ತಂಗಿ ಓಡುವುದನ್ನು ಇಷ್ಟಪಡುತ್ತಾಳೆ .|ಮಾರ ಭೇನೆನ ಧಾಸೆರೊ ಪಸಂದ್ ಚ .|ಮಾರ ಭೇನ ಧಾಸೆರ್ ಪಸಂದ್ ಚ .
ಅವರು ಪ್ರಜ್ಞಾಹೀನರಾಗಿದ್ದರು .|ಓ ಪ್ರದ್ನ್ಯಾಹೀನ್ ವೇಗೆತೆ .|ವನುನ್ ಹೊಶ್ ವೇತ್ತಿಕೋನಿ .
ಭಯೋತ್ಪಾದನೆ ದುಷ್ಟ .|ಭಯೋತ್ಪಾದನೆ ದುಸ್ಟ ಛ .|ಭಯೋತ್ಪಾದನೆ ದುಷ್ಟ ಚ .
ಅವಳ ಹೆತ್ತವರು ಯಾರೆಂದು ಅವಳಿಗೆ ತಿಳಿದಿಲ್ಲ .|ವೊರ್ ಮಾ ಬಾಪ್ ಕುಣ ಚ ವೊನ್ ಮಾಲಮ್ ಛೆನಿ .|ಓರ್ ಮಾ ಬಾಪ್ ಕುಣ ಕರನ್ ಓನ್ ಮಾಲಮ್ ಛೆನೀ .
ಸ್ಥಳೀಯ ಪೊಲೀಸರು ಪರಿಸ್ಥಿತಿ ತಿಳಿಗೊಳಿಸಿದರು .|ಸ್ಥಳೀಯ ಪೊಲೀಸ್ ಪರಿಸ್ಥಿತಿ ಶಾಂತ್ ಕಿದೆ .|ಪೊಲೀಸ್ ಸ್ಥಳೀಯ ಪರಿಸ್ಥಿತಿ ಕೇಚ .
ನಾನು ಈ ಹಿಂದೆ ಅವರ ಮನೆಗೆ ಹೋಗಿರಲಿಲ್ಲ .|ಮ ಏರ್ ಲಾರ ವುನೆರ್ ಘರೇನ್ ಗೇತೊಕೋನಿ .|ಮ ಏರ್ ಲಾರ್ ವೊರ್ ಘರೇನ್ ಗೆ ಕೋನಿ .
ಅದನ್ನು ಸಾರ್ವಜನಿಕವಾಗಿ ಚರ್ಚಿಸಬಾರದು .|ಓನ್ ಸೆ ಲೊಕುವನು ಮಾಯಿ ಚರ್ಚೆ ನಕರಣು .|ಓನ್ ಸೇರಿ ಬಗ್ಗೆ ಚರ್ಚೆ ನ ಕರಣು .
ನೀನು ನನ್ನ ಮಾತು ಕೇಳಲಿಲ್ಲವೇ ?|ತು ಮಾರ್ ವಾತೇ ಸಾಂಬಳಿ ಕೋನಿ ಕಾ೦ಯೀ .|ತು ಮಾರ್ ವಾತೆ ಸಾಮಳೋಕೋನಿ ಕ ?
ಬೇಸಿಗೆಯಲ್ಲಿ ನಿಮ್ಮ ಯೋಜನೆಗಳೇನು ?|ಉಂದಾಳೆ ಮಾಯಿ ತಮಾರ್ ಯೋಜನೆ ಕಾಯಿಚ .|ಬ್ಯಾಸಗಿ ಮಾಯಿ ತಮಾರ್ ಯೋಜನೆ ಕಾ೦ಯೀ ಛ ?
ಅವಳು ತನ್ನ ಗಂಡನನ್ನು ದ್ವೇಷಿಸುತ್ತಿದ್ದಳು .|ಉ ಛೋರಿ ಓರ್ ಧ್ ಣಿ ನ ಇಷ್ಟ ಕರೆನಿ .|ವು ವೋರ ಧಣಿ ನ ದ್ವೇಷ ಕರರಿತಿ .
